"Averaging time data supplied by EarthSense on 27/08/2025"
"Source","Zephyr"
"ID","Zephyr (1637)"
"Site Name","1637"
"Time Period","01/02/2025 00:00 - 28/02/2025 23:59"
"Timestamp","28/02/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2563"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-01-2025","17:00:00","2025-01-31T23:00:00+00:00","N/A","N/A","46.43","μg/m³","0","μg/m³","40.72","μg/m³","0.65","μg/m³","2.01","μg/m³","3.67","μg/m³","6.13","μg/m³","18.43","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.05","69.03","N/A","N/A","N/A","2","50","N/A"
"31-01-2025","18:00:00","2025-02-01T00:00:00+00:00","N/A","N/A","43.96","μg/m³","0","μg/m³","27.88","μg/m³","0.66","μg/m³","1.75","μg/m³","3.8","μg/m³","4.42","μg/m³","12.57","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","21.85","74.25","N/A","N/A","N/A","2","57","N/A"
"31-01-2025","19:00:00","2025-02-01T01:00:00+00:00","N/A","N/A","54.59","μg/m³","0","μg/m³","15","μg/m³","0.43","μg/m³","1.05","μg/m³","3.7","μg/m³","3.21","μg/m³","13.59","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.26","82.89","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","20:00:00","2025-02-01T02:00:00+00:00","N/A","N/A","51.58","μg/m³","0.19","μg/m³","9.15","μg/m³","1.44","μg/m³","1.93","μg/m³","4.87","μg/m³","3.2","μg/m³","8.07","μg/m³","0.2","mg/m³","N/A","ppm","N/A","ppb","20.17","84.68","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","21:00:00","2025-02-01T03:00:00+00:00","N/A","N/A","53.77","μg/m³","2.28","μg/m³","4.09","μg/m³","3.72","μg/m³","4.3","μg/m³","7.58","μg/m³","3.73","μg/m³","6.73","μg/m³","0.41","mg/m³","N/A","ppm","N/A","ppb","20.33","83.85","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","22:00:00","2025-02-01T04:00:00+00:00","N/A","N/A","48.53","μg/m³","1.78","μg/m³","9.41","μg/m³","3.99","μg/m³","4.62","μg/m³","7.97","μg/m³","3.65","μg/m³","6.23","μg/m³","0.34","mg/m³","N/A","ppm","N/A","ppb","20.37","84.78","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","23:00:00","2025-02-01T05:00:00+00:00","N/A","N/A","32.13","μg/m³","0","μg/m³","22.3","μg/m³","2.24","μg/m³","3","μg/m³","5.95","μg/m³","0.98","μg/m³","2.13","μg/m³","0.07","mg/m³","N/A","ppm","N/A","ppb","20.21","81.91","N/A","N/A","N/A","2","63","N/A"
"01-02-2025","00:00:00","2025-02-01T06:00:00+00:00","N/A","N/A","31.68","μg/m³","0","μg/m³","17.8","μg/m³","2.26","μg/m³","3.05","μg/m³","5.98","μg/m³","1.08","μg/m³","1.2","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.22","81.14","N/A","N/A","N/A","2","60","N/A"
"01-02-2025","01:00:00","2025-02-01T07:00:00+00:00","N/A","N/A","13.56","μg/m³","0","μg/m³","46.98","μg/m³","2.42","μg/m³","3.39","μg/m³","6.21","μg/m³","0.17","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.44","78.5","N/A","N/A","N/A","3","60","N/A"
"01-02-2025","02:00:00","2025-02-01T08:00:00+00:00","N/A","N/A","12.48","μg/m³","0","μg/m³","52.72","μg/m³","3.61","μg/m³","4.77","μg/m³","7.82","μg/m³","0.19","μg/m³","0.11","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.82","76.27","N/A","N/A","N/A","3","59","N/A"
