"Averaging time data supplied by EarthSense on 27/08/2025"
"Source","Zephyr"
"ID","Zephyr (1775)"
"Site Name","1775"
"Time Period","01/02/2025 00:00 - 28/02/2025 23:59"
"Timestamp","28/02/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3150"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-01-2025","17:00:00","2025-01-31T23:00:00+00:00","N/A","N/A","48.59","μg/m³","0","μg/m³","66.24","μg/m³","0.64","μg/m³","2.83","μg/m³","3.26","μg/m³","27.68","μg/m³","32.79","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.87","48.03","N/A","N/A","N/A","1","26","N/A"
"31-01-2025","18:00:00","2025-02-01T00:00:00+00:00","N/A","N/A","46.12","μg/m³","0","μg/m³","62.83","μg/m³","1.39","μg/m³","3.12","μg/m³","4.18","μg/m³","20.84","μg/m³","25.99","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","26.06","56.41","N/A","N/A","N/A","2","37","N/A"
"31-01-2025","19:00:00","2025-02-01T01:00:00+00:00","N/A","N/A","49.24","μg/m³","0","μg/m³","48.09","μg/m³","2.34","μg/m³","3.24","μg/m³","5.79","μg/m³","16.3","μg/m³","31.61","μg/m³","0.16","mg/m³","N/A","ppm","N/A","ppb","22.66","73.43","N/A","N/A","N/A","2","46","N/A"
"31-01-2025","20:00:00","2025-02-01T02:00:00+00:00","N/A","N/A","49.25","μg/m³","0","μg/m³","48.48","μg/m³","1.54","μg/m³","2.24","μg/m³","4.89","μg/m³","8.4","μg/m³","9.46","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","21.96","78.78","N/A","N/A","N/A","2","45","N/A"
"31-01-2025","21:00:00","2025-02-01T03:00:00+00:00","N/A","N/A","36.75","μg/m³","0","μg/m³","51.64","μg/m³","4.7","μg/m³","5.36","μg/m³","8.43","μg/m³","6.37","μg/m³","0.87","μg/m³","0.25","mg/m³","N/A","ppm","N/A","ppb","22.52","76.67","N/A","N/A","N/A","2","47","N/A"
"31-01-2025","22:00:00","2025-02-01T04:00:00+00:00","N/A","N/A","30.44","μg/m³","0","μg/m³","54.51","μg/m³","2.71","μg/m³","3.47","μg/m³","6.29","μg/m³","6.06","μg/m³","2.42","μg/m³","0.13","mg/m³","N/A","ppm","N/A","ppb","22.56","76.05","N/A","N/A","N/A","2","46","N/A"
"31-01-2025","23:00:00","2025-02-01T05:00:00+00:00","N/A","N/A","22.93","μg/m³","0","μg/m³","62.4","μg/m³","2.81","μg/m³","3.63","μg/m³","6.45","μg/m³","4.07","μg/m³","0.4","μg/m³","0.07","mg/m³","N/A","ppm","N/A","ppb","22.43","75.3","N/A","N/A","N/A","2","48","N/A"
"01-02-2025","00:00:00","2025-02-01T06:00:00+00:00","N/A","N/A","17.6","μg/m³","0","μg/m³","64.78","μg/m³","3.74","μg/m³","4.75","μg/m³","7.95","μg/m³","4.16","μg/m³","1.21","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","22.38","73.35","N/A","N/A","N/A","2","49","N/A"
"01-02-2025","01:00:00","2025-02-01T07:00:00+00:00","N/A","N/A","17.38","μg/m³","0","μg/m³","66.7","μg/m³","6.16","μg/m³","7.08","μg/m³","11.25","μg/m³","4.29","μg/m³","0.75","μg/m³","0.02","mg/m³","N/A","ppm","N/A","ppb","22.3","73.98","N/A","N/A","N/A","3","49","N/A"
"01-02-2025","02:00:00","2025-02-01T08:00:00+00:00","N/A","N/A","15.93","μg/m³","0","μg/m³","69.01","μg/m³","7","μg/m³","8","μg/m³","12.36","μg/m³","4.32","μg/m³","1.58","μg/m³","0.02","mg/m³","N/A","ppm","N/A","ppb","22.25","73.65","N/A","N/A","N/A","2","48","N/A"
"01-02-2025","03:00:00","2025-02-01T09:00:00+00:00","N/A","N/A","12.97","μg/m³","0","μg/m³","69.09","μg/m³","5.37","μg/m³","6.39","μg/m³","10.12","μg/m³","3.56","μg/m³","0.11","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","22.26","72.3","N/A","N/A","N/A","2","50","N/A"
"01-02-2025","04:00:00","2025-02-01T10:00:00+00:00","N/A","N/A","12.53","μg/m³","0","μg/m³","69.06","μg/m³","5.7","μg/m³","6.71","μg/m³","10.53","μg/m³","4.15","μg/m³","2.54","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","22.07","72.43","N/A","N/A","N/A","3","52","N/A"
"01-02-2025","05:00:00","2025-02-01T11:00:00+00:00","N/A","N/A","17.39","μg/m³","0","μg/m³","67.26","μg/m³","6.08","μg/m³","7.16","μg/m³","11.31","μg/m³","4.49","μg/m³","2.17","μg/m³","0.04","mg/m³","N/A","ppm","N/A","ppb","22.05","73.68","N/A","N/A","N/A","3","54","N/A"
"01-02-2025","06:00:00","2025-02-01T12:00:00+00:00","N/A","N/A","16.43","μg/m³","0","μg/m³","66.64","μg/m³","2.86","μg/m³","3.74","μg/m³","6.58","μg/m³","4.3","μg/m³","0.8","μg/m³","0.04","mg/m³","N/A","ppm","N/A","ppb","22.23","73.38","N/A","N/A","N/A","3","54","N/A"
"01-02-2025","07:00:00","2025-02-01T13:00:00+00:00","N/A","N/A","17.5","μg/m³","0","μg/m³","65.63","μg/m³","1.98","μg/m³","2.97","μg/m³","5.32","μg/m³","4.26","μg/m³","0.39","μg/m³","0.07","mg/m³","N/A","ppm","N/A","ppb","22.52","71.4","N/A","N/A","N/A","2","56","N/A"
"01-02-2025","08:00:00","2025-02-01T14:00:00+00:00","N/A","N/A","17.56","μg/m³","0","μg/m³","71.03","μg/m³","1.69","μg/m³","2.92","μg/m³","4.92","μg/m³","6.29","μg/m³","0.03","μg/m³","0.07","mg/m³","N/A","ppm","N/A","ppb","23.87","67.55","N/A","N/A","N/A","3","56","N/A"
"01-02-2025","09:00:00","2025-02-01T15:00:00+00:00","N/A","N/A","22.09","μg/m³","0","μg/m³","69.68","μg/m³","2.26","μg/m³","3.44","μg/m³","5.63","μg/m³","9.19","μg/m³","4.71","μg/m³","0.08","mg/m³","N/A","ppm","N/A","ppb","24.62","67.62","N/A","N/A","N/A","3","54","N/A"
"01-02-2025","10:00:00","2025-02-01T16:00:00+00:00","N/A","N/A","21.86","μg/m³","0","μg/m³","72.89","μg/m³","2.64","μg/m³","3.91","μg/m³","6.5","μg/m³","8.59","μg/m³","2.79","μg/m³","0.03","mg/m³","N/A","ppm","N/A","ppb","24.72","68.3","N/A","N/A","N/A","3","50","N/A"
"01-02-2025","11:00:00","2025-02-01T17:00:00+00:00","N/A","N/A","17.96","μg/m³","0","μg/m³","74.61","μg/m³","3.69","μg/m³","5.1","μg/m³","7.9","μg/m³","9.55","μg/m³","0.02","μg/m³","0.02","mg/m³","N/A","ppm","N/A","ppb","25.47","64.36","N/A","N/A","N/A","3","62","N/A"
"01-02-2025","12:00:00","2025-02-01T18:00:00+00:00","N/A","N/A","19.52","μg/m³","0.03","μg/m³","81.02","μg/m³","4.17","μg/m³","5.87","μg/m³","8.54","μg/m³","12.35","μg/m³","0","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","27.65","57.37","N/A","N/A","N/A","4","60","N/A"
"01-02-2025","13:00:00","2025-02-01T19:00:00+00:00","N/A","N/A","15.94","μg/m³","0.98","μg/m³","89.11","μg/m³","3.81","μg/m³","6.17","μg/m³","8.18","μg/m³","16.25","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","30.3","46.55","N/A","N/A","N/A","4","53","N/A"
