"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1775)"
"Site Name","1775"
"Time Period","01/04/2025 00:00 - 30/04/2025 23:59"
"Timestamp","30/04/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3150"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-03-2025","17:00:00","2025-03-31T23:00:00+00:00","N/A","N/A","70.64","μg/m³","0","μg/m³","85.78","μg/m³","21.41","μg/m³","25.11","μg/m³","42.33","μg/m³","27.18","μg/m³","29.87","μg/m³","0","mg/m³","31","51.4","N/A","N/A","N/A","0","242","N/A"
"31-03-2025","18:00:00","2025-04-01T00:00:00+00:00","N/A","N/A","54.97","μg/m³","0","μg/m³","76.3","μg/m³","21.93","μg/m³","24.61","μg/m³","40.75","μg/m³","18.67","μg/m³","20.91","μg/m³","0","mg/m³","27.41","62.34","N/A","N/A","N/A","0","271","N/A"
"31-03-2025","19:00:00","2025-04-01T01:00:00+00:00","N/A","N/A","49.57","μg/m³","0","μg/m³","63.3","μg/m³","21.67","μg/m³","23.5","μg/m³","37.68","μg/m³","15.46","μg/m³","22.24","μg/m³","0.01","mg/m³","25.22","73.54","N/A","N/A","N/A","0","15","N/A"
"31-03-2025","20:00:00","2025-04-01T02:00:00+00:00","N/A","N/A","51.76","μg/m³","0","μg/m³","41.42","μg/m³","11.15","μg/m³","12.11","μg/m³","17.72","μg/m³","10.18","μg/m³","7.62","μg/m³","0.09","mg/m³","23.63","76.89","N/A","N/A","N/A","1","57","N/A"
"31-03-2025","21:00:00","2025-04-01T03:00:00+00:00","N/A","N/A","36.24","μg/m³","0","μg/m³","45.22","μg/m³","5.14","μg/m³","6.12","μg/m³","9.68","μg/m³","6.35","μg/m³","0.34","μg/m³","0.03","mg/m³","23.07","74.45","N/A","N/A","N/A","1","60","N/A"
"31-03-2025","22:00:00","2025-04-01T04:00:00+00:00","N/A","N/A","19.67","μg/m³","0","μg/m³","51.87","μg/m³","4.13","μg/m³","5.12","μg/m³","8.08","μg/m³","3.09","μg/m³","0","μg/m³","0.01","mg/m³","22.63","69.93","N/A","N/A","N/A","1","35","N/A"
"31-03-2025","23:00:00","2025-04-01T05:00:00+00:00","N/A","N/A","11.06","μg/m³","0.01","μg/m³","55.1","μg/m³","6.07","μg/m³","7.25","μg/m³","10.74","μg/m³","1.5","μg/m³","0","μg/m³","0.01","mg/m³","21.85","63.28","N/A","N/A","N/A","2","36","N/A"
"01-04-2025","00:00:00","2025-04-01T06:00:00+00:00","N/A","N/A","7.97","μg/m³","0","μg/m³","61.57","μg/m³","3.52","μg/m³","5.12","μg/m³","7.6","μg/m³","2.62","μg/m³","0.12","μg/m³","0.01","mg/m³","21.8","60.17","N/A","N/A","N/A","2","39","N/A"
"01-04-2025","01:00:00","2025-04-01T07:00:00+00:00","N/A","N/A","16.58","μg/m³","0","μg/m³","58.17","μg/m³","9.23","μg/m³","10.64","μg/m³","15.7","μg/m³","6.47","μg/m³","7.86","μg/m³","0.02","mg/m³","21.72","63.34","N/A","N/A","N/A","2","46","N/A"
"01-04-2025","02:00:00","2025-04-01T08:00:00+00:00","N/A","N/A","19.33","μg/m³","0","μg/m³","57.26","μg/m³","10.06","μg/m³","11.43","μg/m³","16.93","μg/m³","6.45","μg/m³","5.19","μg/m³","0.02","mg/m³","21.78","66.62","N/A","N/A","N/A","2","49","N/A"
