"Averaging time data supplied by EarthSense on 27/02/2025"
"Source","Zephyr"
"ID","Zephyr (1775)"
"Site Name","1775"
"Time Period","01/01/2025 00:00 - 31/01/2025 23:59"
"Timestamp","31/01/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3150"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-12-2024","18:00:00","2025-01-01T00:00:00+00:00","N/A","N/A","38.06","μg/m³","0","μg/m³","58.98","μg/m³","8.56","μg/m³","9.71","μg/m³","13.95","μg/m³","15.95","μg/m³","18.66","μg/m³","0.15","mg/m³","24.36","65.58","N/A","N/A","N/A","2","48","N/A"
"31-12-2024","19:00:00","2025-01-01T01:00:00+00:00","N/A","N/A","32.83","μg/m³","0","μg/m³","53.9","μg/m³","7.73","μg/m³","8.67","μg/m³","12.82","μg/m³","12.67","μg/m³","8.28","μg/m³","0.18","mg/m³","23.2","69.19","N/A","N/A","N/A","2","42","N/A"
"31-12-2024","20:00:00","2025-01-01T02:00:00+00:00","N/A","N/A","27.34","μg/m³","0","μg/m³","53.48","μg/m³","7.49","μg/m³","8.33","μg/m³","12.23","μg/m³","10.45","μg/m³","5.36","μg/m³","0.25","mg/m³","22.61","69.43","N/A","N/A","N/A","2","44","N/A"
"31-12-2024","21:00:00","2025-01-01T03:00:00+00:00","N/A","N/A","18.67","μg/m³","0","μg/m³","59.72","μg/m³","7.98","μg/m³","8.98","μg/m³","13.1","μg/m³","8.58","μg/m³","1.4","μg/m³","0.24","mg/m³","22.33","67.71","N/A","N/A","N/A","3","47","N/A"
"31-12-2024","22:00:00","2025-01-01T04:00:00+00:00","N/A","N/A","19.23","μg/m³","0","μg/m³","56.61","μg/m³","10.83","μg/m³","11.86","μg/m³","17.01","μg/m³","8.79","μg/m³","4.17","μg/m³","0.35","mg/m³","22.02","67.97","N/A","N/A","N/A","2","49","N/A"
"31-12-2024","23:00:00","2025-01-01T05:00:00+00:00","N/A","N/A","17.02","μg/m³","0","μg/m³","58.74","μg/m³","8.05","μg/m³","8.96","μg/m³","13.02","μg/m³","8.33","μg/m³","4.66","μg/m³","0.23","mg/m³","21.81","69.21","N/A","N/A","N/A","2","49","N/A"
"01-01-2025","00:00:00","2025-01-01T06:00:00+00:00","N/A","N/A","15.68","μg/m³","0","μg/m³","62.67","μg/m³","6.42","μg/m³","7.41","μg/m³","11.01","μg/m³","7.87","μg/m³","4.08","μg/m³","0.14","mg/m³","21.93","69.58","N/A","N/A","N/A","2","46","N/A"
"01-01-2025","01:00:00","2025-01-01T07:00:00+00:00","N/A","N/A","13.98","μg/m³","0","μg/m³","60.56","μg/m³","11.06","μg/m³","12.16","μg/m³","17.93","μg/m³","7.93","μg/m³","4.61","μg/m³","0.08","mg/m³","21.78","71.27","N/A","N/A","N/A","2","51","N/A"
"01-01-2025","02:00:00","2025-01-01T08:00:00+00:00","N/A","N/A","19.5","μg/m³","0","μg/m³","50.21","μg/m³","14.75","μg/m³","15.95","μg/m³","23.05","μg/m³","7.74","μg/m³","6.75","μg/m³","0.24","mg/m³","21.15","74.19","N/A","N/A","N/A","2","48","N/A"
"01-01-2025","03:00:00","2025-01-01T09:00:00+00:00","N/A","N/A","27.9","μg/m³","0","μg/m³","41.79","μg/m³","13.62","μg/m³","14.75","μg/m³","20.97","μg/m³","7.48","μg/m³","7.31","μg/m³","0.47","mg/m³","20.44","77.34","N/A","N/A","N/A","2","47","N/A"
"01-01-2025","04:00:00","2025-01-01T10:00:00+00:00","N/A","N/A","24","μg/m³","0","μg/m³","39.06","μg/m³","10.62","μg/m³","11.49","μg/m³","16.3","μg/m³","7.11","μg/m³","6.21","μg/m³","0.42","mg/m³","20.08","78.42","N/A","N/A","N/A","2","50","N/A"
"01-01-2025","05:00:00","2025-01-01T11:00:00+00:00","N/A","N/A","15.15","μg/m³","0","μg/m³","50.79","μg/m³","4.05","μg/m³","4.65","μg/m³","7.81","μg/m³","4.71","μg/m³","1.53","μg/m³","0.16","mg/m³","19.98","77.78","N/A","N/A","N/A","2","49","N/A"
"01-01-2025","06:00:00","2025-01-01T12:00:00+00:00","N/A","N/A","11.02","μg/m³","0.06","μg/m³","58.42","μg/m³","9.11","μg/m³","10.19","μg/m³","15.64","μg/m³","4.66","μg/m³","0.07","μg/m³","0.12","mg/m³","20.61","73.8","N/A","N/A","N/A","2","48","N/A"
"01-01-2025","07:00:00","2025-01-01T13:00:00+00:00","N/A","N/A","7.63","μg/m³","0.02","μg/m³","58.24","μg/m³","3.46","μg/m³","4.33","μg/m³","6.98","μg/m³","6.22","μg/m³","0.46","μg/m³","0.05","mg/m³","21.44","71.14","N/A","N/A","N/A","2","51","N/A"
"01-01-2025","08:00:00","2025-01-01T14:00:00+00:00","N/A","N/A","12.56","μg/m³","0.39","μg/m³","58.2","μg/m³","4.28","μg/m³","5.32","μg/m³","8.1","μg/m³","9.5","μg/m³","0.29","μg/m³","0.16","mg/m³","23.2","68.15","N/A","N/A","N/A","2","43","N/A"
"01-01-2025","09:00:00","2025-01-01T15:00:00+00:00","N/A","N/A","14.8","μg/m³","3.68","μg/m³","70.66","μg/m³","2.1","μg/m³","3.78","μg/m³","4.73","μg/m³","15.38","μg/m³","0","μg/m³","0.05","mg/m³","28.04","53.15","N/A","N/A","N/A","1","50","N/A"
"01-01-2025","10:00:00","2025-01-01T16:00:00+00:00","N/A","N/A","10.03","μg/m³","0.09","μg/m³","75.4","μg/m³","2.44","μg/m³","4.23","μg/m³","5.08","μg/m³","18.61","μg/m³","0.45","μg/m³","0.01","mg/m³","28.67","49.25","N/A","N/A","N/A","1","58","N/A"
"01-01-2025","11:00:00","2025-01-01T17:00:00+00:00","N/A","N/A","21.3","μg/m³","0.69","μg/m³","76.94","μg/m³","2.21","μg/m³","4.12","μg/m³","4.65","μg/m³","21.74","μg/m³","1.56","μg/m³","0","mg/m³","29.9","46.51","N/A","N/A","N/A","1","65","N/A"
"01-01-2025","12:00:00","2025-01-01T18:00:00+00:00","N/A","N/A","36.94","μg/m³","0.69","μg/m³","79.03","μg/m³","2.95","μg/m³","4.99","μg/m³","5.69","μg/m³","25.47","μg/m³","3.34","μg/m³","0.02","mg/m³","31.7","43.63","N/A","N/A","N/A","2","72","N/A"
"01-01-2025","13:00:00","2025-01-01T19:00:00+00:00","N/A","N/A","49.97","μg/m³","0","μg/m³","74.52","μg/m³","2.95","μg/m³","4.94","μg/m³","5.82","μg/m³","29.03","μg/m³","18.53","μg/m³","0.01","mg/m³","32.35","46.2","N/A","N/A","N/A","2","63","N/A"
"01-01-2025","14:00:00","2025-01-01T20:00:00+00:00","N/A","N/A","43.43","μg/m³","0","μg/m³","71.21","μg/m³","3.15","μg/m³","4.82","μg/m³","6.25","μg/m³","24.77","μg/m³","19.87","μg/m³","0.01","mg/m³","29.5","54.16","N/A","N/A","N/A","1","72","N/A"
